"time","power"
2024-01-11 08:34:40,12
2024-01-11 08:34:45,11
2024-01-11 08:34:56,10
2024-01-11 08:35:17,12
2024-01-11 08:35:28,11
2024-01-11 08:35:33,10
2024-01-11 08:35:49,12
2024-01-11 08:35:54,11
2024-01-11 08:35:59,10
2024-01-11 08:36:10,12
2024-01-11 08:36:21,10
2024-01-11 08:36:42,12
2024-01-11 08:36:47,11
2024-01-11 08:36:58,12
2024-01-11 08:37:03,10
2024-01-11 08:37:08,12
2024-01-11 08:37:14,10
2024-01-11 08:37:35,12
2024-01-11 08:37:40,11
2024-01-11 08:37:45,12
2024-01-11 08:37:50,10
2024-01-11 08:37:56,11
2024-01-11 08:38:01,10
2024-01-11 08:38:33,12
2024-01-11 08:38:49,10
2024-01-11 08:38:54,11
2024-01-11 08:38:59,10
2024-01-11 08:39:04,12
2024-01-11 08:39:15,11
2024-01-11 08:39:26,10
2024-01-11 08:39:31,12
2024-01-11 08:39:36,10
2024-01-11 08:39:47,11
2024-01-11 08:39:52,10
2024-01-11 08:40:03,12
2024-01-11 08:40:08,11
2024-01-11 08:40:13,12
2024-01-11 08:40:18,10
2024-01-11 08:40:24,12
2024-01-11 08:40:29,11
2024-01-11 08:40:45,10
2024-01-11 08:40:50,11
2024-01-11 08:40:56,10
2024-01-11 08:41:06,11
2024-01-11 08:41:22,10
2024-01-11 08:41:32,12
2024-01-11 08:41:54,11
2024-01-11 08:41:59,12
2024-01-11 08:42:04,10
2024-01-11 08:42:10,12
2024-01-11 08:42:15,10
2024-01-11 08:42:20,11
2024-01-11 08:42:31,10
2024-01-11 08:42:36,11
2024-01-11 08:42:41,10
2024-01-11 08:42:46,12
2024-01-11 08:42:52,11
2024-01-11 08:43:08,10
2024-01-11 08:43:13,12
2024-01-11 08:43:18,11
2024-01-11 08:43:29,10
2024-01-11 08:43:45,11
2024-01-11 08:43:50,12
2024-01-11 08:43:55,11
2024-01-11 08:44:00,10
2024-01-11 08:44:22,12
2024-01-11 08:44:27,11
2024-01-11 08:44:32,10
2024-01-11 08:44:43,11
2024-01-11 08:44:59,12
2024-01-11 08:45:04,10
2024-01-11 08:45:14,11
2024-01-11 08:45:20,10
2024-01-11 08:45:25,12
2024-01-11 08:45:36,10
2024-01-11 08:45:46,11
2024-01-11 08:45:52,12
2024-01-11 08:46:02,11
2024-01-11 08:46:18,10
2024-01-11 08:46:23,12
2024-01-11 08:46:28,11
2024-01-11 08:46:34,12
2024-01-11 08:46:55,11
2024-01-11 08:47:06,12
2024-01-11 08:47:16,11
2024-01-11 08:47:27,12
2024-01-11 08:47:32,11
2024-01-11 08:47:42,10
2024-01-11 08:47:48,11
2024-01-11 08:47:53,12
2024-01-11 08:48:04,11
2024-01-11 08:48:20,10
2024-01-11 08:48:25,11
2024-01-11 08:48:30,12
2024-01-11 08:48:56,11
2024-01-11 08:49:02,12
2024-01-11 08:49:07,11
2024-01-11 08:49:18,12
2024-01-11 08:49:44,11
2024-01-11 08:50:10,12
2024-01-11 08:50:21,11
2024-01-11 08:50:32,12
2024-01-11 08:50:53,10
2024-01-11 08:50:58,11
2024-01-11 08:51:19,12
2024-01-11 08:51:35,10
2024-01-11 08:51:46,12
2024-01-11 08:51:51,49
2024-01-11 08:51:56,40
2024-01-11 08:52:07,40
2024-01-11 08:52:12,41
2024-01-11 08:52:23,40
2024-01-11 08:52:33,41
2024-01-11 08:53:05,40
2024-01-11 08:53:21,41
2024-01-11 08:53:26,40
2024-01-11 08:53:42,41
2024-01-11 08:53:47,40
2024-01-11 08:53:58,41
2024-01-11 08:54:03,40
2024-01-11 08:54:19,41
2024-01-11 08:54:30,40
2024-01-11 08:54:56,41
2024-01-11 08:55:07,40
2024-01-11 08:55:44,41
2024-01-11 08:56:05,40
2024-01-11 08:56:15,41
2024-01-11 08:56:21,42
2024-01-11 08:56:26,41
2024-01-11 08:56:47,40
2024-01-11 08:57:24,39
2024-01-11 08:57:29,40
2024-01-11 08:57:40,41
2024-01-11 08:57:56,40
2024-01-11 08:58:01,41
2024-01-11 08:58:12,40
2024-01-11 08:58:43,41
2024-01-11 08:58:49,40
2024-01-11 08:58:59,41
2024-01-11 08:59:10,40
2024-01-11 08:59:15,41
2024-01-11 08:59:21,40
2024-01-11 08:59:31,41
2024-01-11 08:59:52,42
2024-01-11 08:59:57,41
2024-01-11 09:00:08,40
2024-01-11 09:00:29,41
2024-01-11 09:00:45,40
2024-01-11 09:01:01,41
2024-01-11 09:01:11,40
2024-01-11 09:01:43,41
2024-01-11 09:02:04,42
2024-01-11 09:02:15,40
2024-01-11 09:02:20,41
2024-01-11 09:02:31,40
2024-01-11 09:03:08,41
2024-01-11 09:03:29,40
2024-01-11 09:03:39,41
2024-01-11 09:03:45,40
2024-01-11 09:03:50,41
2024-01-11 09:04:06,44
2024-01-11 09:04:12,102
2024-01-11 09:04:17,102
2024-01-11 09:04:32,101
2024-01-11 09:04:43,101
2024-01-11 09:04:48,102
2024-01-11 09:04:59,101
2024-01-11 09:05:09,102
2024-01-11 09:05:25,101
2024-01-11 09:05:36,102
2024-01-11 09:05:41,101
2024-01-11 09:05:46,102
2024-01-11 09:05:57,101
2024-01-11 09:06:07,102
2024-01-11 09:06:13,101
2024-01-11 09:06:18,102
2024-01-11 09:06:23,101
2024-01-11 09:06:39,102
2024-01-11 09:06:50,101
2024-01-11 09:06:55,100
2024-01-11 09:07:00,103
2024-01-11 09:07:11,101
2024-01-11 09:07:16,102
2024-01-11 09:07:21,100
2024-01-11 09:07:27,99
2024-01-11 09:07:32,101
2024-01-11 09:07:37,101
2024-01-11 09:07:48,102
2024-01-11 09:08:04,101
2024-01-11 09:08:09,100
2024-01-11 09:08:14,101
2024-01-11 09:08:25,103
2024-01-11 09:08:30,101
2024-01-11 09:08:41,102
2024-01-11 09:08:51,101
2024-01-11 09:09:02,102
2024-01-11 09:09:07,101
2024-01-11 09:09:13,99
2024-01-11 09:09:18,101
2024-01-11 09:09:23,102
2024-01-11 09:09:28,100
2024-01-11 09:09:39,102
2024-01-11 09:09:55,99
2024-01-11 09:10:00,101
2024-01-11 09:10:16,102
2024-01-11 09:10:21,102
2024-01-11 09:10:27,103
2024-01-11 09:10:32,102
2024-01-11 09:10:42,101
2024-01-11 09:10:53,102
2024-01-11 09:11:19,103
2024-01-11 09:11:30,112
2024-01-11 09:11:36,203
2024-01-11 09:11:41,205
2024-01-11 09:11:46,205
2024-01-11 09:11:51,206
2024-01-11 09:11:57,205
